dependent,married,gender,churn,contract,internet_service,phone,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,payment_method,tenure,monthly_charge,dataset
No,Yes,Female,No,One year,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Autopay,56.0,105.6,Competitor
Yes,Yes,Male,No,Two year,DSL,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Autopay,67.0,81.35,Competitor
No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,eCheck,9.0,100.5,Competitor
No,No,Male,No,Month-to-month,DSL,Yes,No,No,No,No,No,Yes,No,Yes,eCheck,4.0,56.4,Competitor
No,No,Male,No,One year,DSL,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Autopay,19.0,65.35,Competitor
Yes,No,Female,No,Month-to-month,None,Yes,No,No,No,No,No,No,No,No,Check,8.0,19.95,Competitor
No,No,Female,No,Two year,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,eCheck,71.0,111.25,Competitor
No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Yes,eCheck,10.0,72.85,Competitor
No,No,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,No,No,Autopay,15.0,89.0,Competitor
Yes,Yes,Male,No,One year,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Autopay,72.0,106.1,Competitor
No,No,Male,No,One year,None,Yes,No,No,No,No,No,No,No,No,Autopay,12.0,20.05,Competitor
Yes,Yes,Male,No,Two year,None,Yes,Yes,No,No,No,No,No,No,Yes,Autopay,72.0,25.2,Competitor
No,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,No,No,Yes,eCheck,1.0,73.55,Competitor
No,No,Female,No,Month-to-month,Fiber Optic,Yes,No,Yes,No,No,No,No,No,Yes,Autopay,23.0,75.4,Competitor
No,No,Male,No,Two year,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Autopay,72.0,65.55,Competitor
No,No,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,No,No,Yes,eCheck,26.0,80.7,Competitor
No,No,Female,No,One year,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Check,21.0,104.55,Competitor
No,Yes,Male,No,One year,None,Yes,Yes,No,No,No,No,No,No,No,Autopay,60.0,24.15,Competitor
No,No,Male,No,Month-to-month,None,Yes,No,No,No,No,No,No,No,No,Check,12.0,20.45,Competitor
No,Yes,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,No,No,Yes,eCheck,16.0,75.4,Competitor
No,Yes,Female,No,One year,DSL,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Autopay,63.0,79.7,Competitor
No,No,Female,No,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,No,No,No,No,eCheck,22.0,81.7,Competitor
Yes,Yes,Female,No,Month-to-month,DSL,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Autopay,32.0,76.3,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,No,No,Yes,eCheck,3.0,79.4,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,Yes,eCheck,13.0,81.15,Competitor
Yes,Yes,Female,No,Two year,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Autopay,68.0,103.75,Competitor
Yes,Yes,Female,No,One year,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,No,eCheck,30.0,86.45,Competitor
No,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,No,No,No,No,Autopay,16.0,75.1,Competitor
No,No,Male,No,Two year,Fiber Optic,Yes,No,No,Yes,No,Yes,No,No,No,Autopay,33.0,80.6,Competitor
No,Yes,Male,No,Two year,None,Yes,No,No,No,No,No,No,No,No,Autopay,72.0,19.3,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,Yes,eCheck,4.0,84.6,Competitor
No,No,Female,No,One year,DSL,No,No,Yes,No,No,Yes,No,No,Yes,Check,12.0,33.6,Competitor
No,Yes,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,eCheck,4.0,83.25,Competitor
Yes,Yes,Female,No,Two year,DSL,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Check,0.0,80.85,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,No,No,No,No,Yes,eCheck,6.0,79.05,Competitor
No,Yes,Female,No,One year,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Autopay,65.0,108.05,Competitor
No,No,Female,No,Month-to-month,None,Yes,No,No,No,No,No,No,No,No,Check,15.0,19.9,Competitor
Yes,No,Female,No,One year,None,Yes,No,No,No,No,No,No,No,No,Autopay,24.0,21.05,Competitor
Yes,No,Female,No,Month-to-month,DSL,No,No,No,Yes,No,No,No,No,No,eCheck,13.0,30.15,Competitor
No,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Yes,Autopay,24.0,79.85,Competitor
No,Yes,Female,No,Two year,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Autopay,72.0,65.5,Competitor
Yes,Yes,Female,No,Month-to-month,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Autopay,54.0,104.1,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,No,No,No,Autopay,3.0,74.4,Competitor
Yes,Yes,Male,No,Month-to-month,None,Yes,No,No,No,No,No,No,No,Yes,Check,4.0,20.5,Competitor
Yes,Yes,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Check,32.0,91.35,Competitor
No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,eCheck,35.0,99.05,Competitor
Yes,Yes,Male,No,Two year,None,Yes,No,No,No,No,No,No,No,No,Autopay,35.0,20.5,Competitor
No,No,Male,Yes,Month-to-month,DSL,Yes,No,No,No,No,No,No,No,No,Check,2.0,44.95,Competitor
No,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,No,No,No,No,eCheck,8.0,75.6,Competitor
No,No,Male,No,Month-to-month,DSL,Yes,No,Yes,No,No,Yes,No,No,No,Check,22.0,55.1,Competitor
No,No,Female,No,Month-to-month,DSL,Yes,No,Yes,No,Yes,Yes,No,No,No,eCheck,15.0,58.95,Competitor
No,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,eCheck,22.0,95.1,Competitor
No,Yes,Male,Yes,Month-to-month,DSL,Yes,No,No,No,No,No,No,No,No,Autopay,1.0,44.7,Competitor
Yes,Yes,Female,No,Two year,None,Yes,Yes,No,No,No,No,No,No,No,Autopay,71.0,25.45,Competitor
No,No,Male,No,Month-to-month,DSL,Yes,No,Yes,No,Yes,No,No,No,No,eCheck,4.0,56.75,Competitor
No,No,Male,No,Month-to-month,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Autopay,25.0,81.75,Competitor
Yes,Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,No,Yes,No,Yes,eCheck,32.0,86.1,Competitor
No,Yes,Male,No,Month-to-month,DSL,No,No,Yes,No,No,No,No,No,No,Autopay,7.0,29.8,Competitor
No,No,Male,No,One year,None,Yes,No,No,No,No,No,No,No,Yes,Check,17.0,20.5,Competitor
No,Yes,Male,No,Month-to-month,DSL,Yes,No,Yes,No,No,No,Yes,No,No,Autopay,8.0,60.9,Competitor
No,No,Female,No,Two year,DSL,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Autopay,56.0,73.25,Competitor
No,No,Male,Yes,Month-to-month,DSL,Yes,No,No,No,No,No,No,No,Yes,Check,1.0,45.7,Competitor
No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Autopay,8.0,100.3,Competitor
No,No,Male,Yes,Month-to-month,None,Yes,No,No,No,No,No,No,No,No,eCheck,7.0,19.25,Competitor
Yes,No,Male,No,Month-to-month,None,Yes,No,No,No,No,No,No,No,No,Check,3.0,20.85,Competitor
No,No,Female,No,Two year,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Autopay,71.0,77.35,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,eCheck,2.0,96.0,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,eCheck,1.0,90.55,Competitor
No,Yes,Male,No,Month-to-month,Fiber Optic,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Autopay,49.0,93.85,Competitor
No,No,Male,No,Two year,DSL,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Autopay,58.0,70.1,Competitor
No,Yes,Male,Yes,Month-to-month,DSL,No,No,No,Yes,No,No,No,No,Yes,eCheck,44.0,30.35,Competitor
Yes,Yes,Female,No,Two year,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Autopay,59.0,75.95,Competitor
No,No,Male,Yes,Two year,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,eCheck,71.0,108.05,Competitor
No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,eCheck,1.0,69.9,Competitor
No,No,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,No,No,No,eCheck,11.0,75.25,Competitor
No,Yes,Male,Yes,One year,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,eCheck,62.0,103.75,Competitor
Yes,Yes,Female,No,One year,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,Autopay,35.0,54.95,Competitor
No,No,Female,No,Month-to-month,None,Yes,No,No,No,No,No,No,No,Yes,Autopay,20.0,19.5,Competitor
Yes,Yes,Male,No,Two year,None,Yes,No,No,No,No,No,No,No,No,Check,40.0,19.6,Competitor
No,No,Female,No,One year,DSL,Yes,No,Yes,No,No,No,No,No,Yes,eCheck,39.0,47.85,Competitor
No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,Yes,eCheck,1.0,86.6,Competitor
Yes,Yes,Female,No,Two year,None,Yes,Yes,No,No,No,No,No,No,No,Autopay,72.0,23.75,Competitor
No,Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,No,No,Yes,Autopay,33.0,80.6,Competitor
No,No,Female,No,Month-to-month,DSL,Yes,No,No,No,No,No,No,No,No,Autopay,12.0,43.8,Competitor
No,No,Male,No,Month-to-month,None,Yes,No,No,No,No,No,No,No,No,Autopay,1.0,19.75,Competitor
Yes,No,Male,No,Month-to-month,None,Yes,No,No,No,No,No,No,No,No,Check,27.0,19.15,Competitor
Yes,Yes,Male,No,One year,None,Yes,No,No,No,No,No,No,No,No,Autopay,34.0,19.6,Competitor
No,Yes,Female,No,Two year,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,No,Autopay,56.0,80.3,Competitor
No,No,Female,No,Two year,None,Yes,Yes,No,No,No,No,No,No,No,Autopay,58.0,24.35,Competitor
Yes,Yes,Female,No,Two year,None,Yes,Yes,No,No,No,No,No,No,No,Autopay,22.0,25.25,Competitor
Yes,Yes,Female,No,Two year,None,Yes,Yes,No,No,No,No,No,No,No,Autopay,10.0,26.1,Competitor
No,No,Male,No,Two year,None,Yes,No,No,No,No,No,No,No,No,Autopay,13.0,20.0,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,Yes,No,No,No,Autopay,35.0,85.3,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Autopay,34.0,70.0,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,eCheck,4.0,94.3,Competitor
No,Yes,Male,No,Two year,None,Yes,No,No,No,No,No,No,No,No,Autopay,72.0,20.7,Competitor
No,No,Male,No,Month-to-month,DSL,Yes,No,No,No,No,Yes,Yes,Yes,No,eCheck,2.0,70.3,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,Yes,Yes,Yes,eCheck,7.0,95.35,Competitor
No,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,No,No,Yes,eCheck,27.0,75.5,Competitor
Yes,Yes,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Check,4.0,69.55,Competitor
No,No,Female,No,Two year,None,Yes,No,No,No,No,No,No,No,No,Check,37.0,19.85,Competitor
No,No,Male,No,Month-to-month,None,Yes,No,No,No,No,No,No,No,No,Check,21.0,20.0,Competitor
No,Yes,Female,No,One year,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Autopay,53.0,95.85,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,eCheck,18.0,90.1,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,No,eCheck,2.0,68.95,Competitor
Yes,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Autopay,32.0,99.55,Competitor
No,Yes,Male,No,One year,None,Yes,No,No,No,No,No,No,No,Yes,eCheck,23.0,20.75,Competitor
No,No,Male,No,Month-to-month,DSL,Yes,No,Yes,No,No,No,No,No,Yes,Check,3.0,50.15,Competitor
Yes,Yes,Female,No,Two year,DSL,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Check,71.0,58.65,Competitor
No,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Autopay,9.0,95.9,Competitor
No,No,Female,No,Month-to-month,DSL,Yes,No,No,Yes,No,No,No,No,No,eCheck,1.0,49.5,Competitor
Yes,Yes,Male,Yes,Month-to-month,DSL,Yes,No,No,No,Yes,No,No,Yes,No,eCheck,18.0,57.45,Competitor
Yes,Yes,Male,Yes,One year,DSL,Yes,No,No,No,No,No,No,Yes,No,Autopay,12.0,53.65,Competitor
No,Yes,Male,No,Two year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Check,71.0,80.1,Competitor
No,No,Female,No,One year,None,Yes,Yes,No,No,No,No,No,No,Yes,Autopay,64.0,24.4,Competitor
No,No,Male,No,Month-to-month,DSL,No,No,No,No,No,Yes,No,Yes,Yes,eCheck,4.0,40.05,Competitor
No,No,Female,No,Month-to-month,None,Yes,No,No,No,No,No,No,No,Yes,Check,23.0,19.5,Competitor
Yes,Yes,Female,No,Month-to-month,DSL,Yes,No,Yes,No,No,No,No,No,No,Autopay,39.0,51.05,Competitor
No,Yes,Male,No,One year,DSL,Yes,No,Yes,No,No,Yes,No,No,No,Check,28.0,54.35,Competitor
No,No,Female,No,Month-to-month,Fiber Optic,Yes,No,No,Yes,No,No,Yes,No,Yes,eCheck,5.0,84.7,Competitor
No,Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Yes,eCheck,45.0,86.1,Competitor
No,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Check,37.0,70.35,Competitor
No,Yes,Female,No,Two year,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Autopay,60.0,110.0,Competitor
No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,eCheck,8.0,100.6,Competitor
No,No,Female,No,One year,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Autopay,47.0,94.9,Competitor
Yes,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,eCheck,26.0,83.75,Competitor
Yes,Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Check,3.0,88.3,Competitor
Yes,Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Autopay,50.0,69.75,Competitor
Yes,Yes,Male,No,Month-to-month,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Autopay,27.0,71.6,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,Yes,Yes,Yes,eCheck,8.0,92.1,Competitor
No,Yes,Female,No,Two year,None,Yes,Yes,No,No,No,No,No,No,No,Autopay,62.0,23.65,Competitor
No,Yes,Female,No,Two year,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Autopay,71.0,81.85,Competitor
No,No,Male,No,Two year,None,Yes,Yes,No,No,No,No,No,No,No,Check,66.0,25.1,Competitor
Yes,Yes,Male,No,Two year,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Autopay,68.0,114.7,Competitor
No,No,Female,No,Month-to-month,DSL,No,No,No,No,Yes,No,Yes,Yes,No,eCheck,13.0,49.15,Competitor
No,Yes,Male,No,One year,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Yes,eCheck,56.0,80.9,Competitor
No,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,Yes,No,No,No,No,Yes,eCheck,38.0,79.45,Competitor
No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Autopay,14.0,90.45,Competitor
Yes,No,Female,No,One year,None,Yes,No,No,No,No,No,No,No,Yes,Autopay,16.0,19.3,Competitor
Yes,Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,No,eCheck,14.0,70.2,Competitor
Yes,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,Autopay,32.0,69.75,Competitor
No,No,Female,No,One year,DSL,Yes,No,Yes,No,No,Yes,No,No,No,Autopay,8.0,54.25,Competitor
Yes,Yes,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Autopay,43.0,99.3,Competitor
No,No,Female,No,One year,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Autopay,52.0,74.0,Competitor
No,No,Male,No,Month-to-month,DSL,Yes,No,No,No,No,Yes,No,No,Yes,Check,3.0,50.25,Competitor
No,No,Male,No,One year,None,Yes,No,No,No,No,No,No,No,Yes,Check,29.0,19.8,Competitor
No,No,Female,Yes,Month-to-month,None,Yes,No,No,No,No,No,No,No,No,Check,1.0,19.65,Competitor
No,No,Male,Yes,Month-to-month,DSL,No,No,No,No,Yes,Yes,No,Yes,Yes,eCheck,12.0,43.65,Competitor
Yes,Yes,Female,No,Month-to-month,DSL,No,No,No,No,No,No,No,Yes,Yes,Autopay,16.0,35.5,Competitor
No,No,Female,No,One year,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Check,40.0,80.75,Competitor
No,No,Female,Yes,Month-to-month,DSL,No,No,No,No,Yes,No,No,Yes,No,eCheck,5.0,39.5,Competitor
No,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Autopay,40.0,97.1,Competitor
No,No,Female,No,One year,None,Yes,No,No,No,No,No,No,No,No,Check,36.0,19.55,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Yes,eCheck,5.0,80.0,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,No,No,Yes,No,Yes,Check,10.0,84.7,Competitor
Yes,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,Yes,Autopay,2.0,89.55,Competitor
No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,Yes,Yes,No,Yes,eCheck,23.0,90.6,Competitor
Yes,Yes,Male,No,One year,None,Yes,No,No,No,No,No,No,No,Yes,Autopay,26.0,20.05,Competitor
No,Yes,Female,No,Two year,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,eCheck,72.0,112.4,Competitor
No,Yes,Female,No,Month-to-month,DSL,Yes,No,No,No,No,Yes,No,No,No,Autopay,34.0,50.2,Competitor
No,No,Male,No,Month-to-month,DSL,Yes,No,Yes,No,No,Yes,Yes,No,No,Autopay,10.0,62.25,Competitor
No,No,Female,No,One year,DSL,Yes,No,Yes,No,No,Yes,No,No,No,Check,14.0,55.7,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Autopay,23.0,90.05,Competitor
No,Yes,Male,No,Two year,None,Yes,No,No,No,No,No,No,No,No,Check,47.0,19.65,Competitor
No,Yes,Male,No,Month-to-month,Fiber Optic,Yes,No,Yes,No,No,Yes,No,Yes,Yes,eCheck,24.0,89.25,Competitor
No,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Autopay,49.0,99.05,Competitor
No,No,Male,No,One year,DSL,Yes,No,Yes,No,No,Yes,No,No,No,Check,20.0,54.0,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,No,Autopay,2.0,69.75,Competitor
No,No,Female,Yes,Month-to-month,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Autopay,2.0,49.05,Competitor
No,No,Male,No,Two year,DSL,No,No,No,No,Yes,Yes,Yes,Yes,No,Autopay,22.0,56.75,Competitor
No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Autopay,7.0,98.05,Competitor
No,No,Male,No,Month-to-month,None,Yes,No,No,No,No,No,No,No,No,Check,1.0,21.1,Competitor
Yes,Yes,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Autopay,59.0,96.65,Competitor
Yes,Yes,Female,No,One year,None,Yes,Yes,No,No,No,No,No,No,Yes,Autopay,58.0,24.5,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Autopay,41.0,114.5,Competitor
No,No,Female,No,Two year,Fiber Optic,Yes,Yes,No,Yes,No,No,No,No,Yes,Autopay,59.0,79.2,Competitor
Yes,Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,No,Yes,eCheck,3.0,69.55,Competitor
No,No,Male,No,Two year,None,Yes,No,No,No,No,No,No,No,Yes,Autopay,32.0,20.05,Competitor
No,Yes,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,eCheck,46.0,98.85,Competitor
Yes,Yes,Male,No,Two year,None,Yes,Yes,No,No,No,No,No,No,No,Check,0.0,25.75,Competitor
No,No,Male,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Yes,eCheck,2.0,80.95,Competitor
Yes,Yes,Female,No,One year,None,Yes,No,No,No,No,No,No,No,No,Autopay,52.0,19.6,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,Yes,No,No,No,Yes,eCheck,13.0,74.3,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,No,Autopay,11.0,89.7,Competitor
No,No,Male,No,Month-to-month,Fiber Optic,Yes,Yes,Yes,No,No,Yes,No,No,No,Autopay,32.0,87.65,Competitor
No,Yes,Male,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Autopay,17.0,100.45,Competitor
No,No,Female,No,Month-to-month,Fiber Optic,Yes,Yes,No,No,No,No,No,No,Yes,Autopay,16.0,74.75,Competitor
No,No,Female,No,One year,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Autopay,51.0,107.45,Competitor
No,No,Male,No,One year,DSL,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Autopay,29.0,75.35,Competitor
No,Yes,Male,No,Two year,DSL,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Autopay,70.0,64.95,Competitor
Yes,Yes,Female,No,Two year,Fiber Optic,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,eCheck,71.0,100.45,Competitor
Yes,Yes,Male,No,One year,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Autopay,41.0,68.5,Competitor
No,No,Male,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,Yes,No,Yes,eCheck,1.0,80.55,Competitor
No,Yes,Female,No,Month-to-month,DSL,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Autopay,7.0,81.25,Competitor
Yes,Yes,Male,Yes,One year,Fiber Optic,Yes,No,No,No,No,No,Yes,Yes,Yes,eCheck,25.0,90.4,Competitor
Yes,Yes,Male,No,One year,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,No,No,No,eCheck,67.0,89.55,Competitor
Yes,Yes,Male,No,Month-to-month,DSL,Yes,Yes,No,No,No,Yes,No,No,Yes,Check,5.0,55.7,Competitor
Yes,No,Male,No,Month-to-month,None,Yes,Yes,No,No,No,No,No,No,Yes,eCheck,15.0,24.8,Competitor
Yes,Yes,Female,No,Month-to-month,None,Yes,No,No,No,No,No,No,No,No,eCheck,20.0,20.0,Competitor
Yes,Yes,Male,Yes,Month-to-month,DSL,Yes,No,No,Yes,Yes,No,No,No,Yes,Check,3.0,56.15,Competitor
Yes,Yes,Male,No,One year,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,eCheck,54.0,105.2,Competitor
No,No,Male,No,One year,None,Yes,No,No,No,No,No,No,No,Yes,Check,42.0,19.55,Competitor
No,Yes,Female,No,Month-to-month,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Yes,eCheck,9.0,79.75,Competitor
No,No,Female,No,Two year,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Autopay,63.0,97.45,Competitor
No,Yes,Female,No,Two year,None,Yes,Yes,No,No,No,No,No,No,No,Autopay,69.0,24.25,Competitor
No,No,Female,No,Two year,None,Yes,Yes,No,No,No,No,No,No,No,Autopay,69.0,24.6,Competitor
No,Yes,Male,No,Month-to-month,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Check,40.0,50.15,Competitor
No,No,Male,No,Two year,DSL,No,No,Yes,Yes,Yes,No,No,No,No,Autopay,60.0,39.6,Competitor
No,No,Female,Yes,Month-to-month,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Autopay,4.0,94.4,Competitor
No,No,Female,No,Two year,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Check,71.0,89.85,Competitor
No,Yes,Female,Yes,Month-to-month,Fiber Optic,Yes,Yes,No,No,Yes,No,No,No,Yes,Autopay,37.0,78.95,Competitor
No,Yes,Male,No,Month-to-month,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Autopay,32.0,98.85,Competitor
No,No,Male,No,Two year,DSL,Yes,Yes,No,No,No,Yes,No,No,Yes,Autopay,39.0,53.85,Competitor
No,No,Female,No,One year,None,Yes,Yes,No,No,No,No,No,No,Yes,eCheck,38.0,24.25,Competitor
